strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Chem-Bomb Auto,Humboldt Seed Organisation,"Highly productive with aggressive lateral branching, large dense buds, and strong disease resistance. Gassy, lemon, pine flavors, strong Indica effects.",27.52,,,3 Feminised Seeds (GBP 27.52) | 5 Feminised Seeds (GBP 44.22) | 10 Feminised Seeds (GBP 88.44) | 50 Feminised Seeds (GBP 420.09) | 100 Feminised Seeds (GBP 795.96),https://www.seed-city.com/humboldt-seed-organisation/chem-bomb-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FChem_Bomb_Auto_612fac387050a_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Normal,,"Citrus, Lemon, Piney, Woodsy",,,,15.52%,0.04%,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Chocolope,Seed City Seeds,Classic strain with deep aromas and uplifting effects. Seed City offers high-quality seeds with a wide selection and excellent customer service.,17.24,22.99,25.0,5 Feminised Seeds (GBP 17.24) | 10 Feminised Seeds (GBP 32.24) | 50 Feminised Seeds (GBP 149.99) | 100 Feminised Seeds (GBP 284.99),https://www.seed-city.com/seed-city-seeds/chocolope,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FChocolope_619534de8d1f6_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,,,,"Indoor, Outdoor",Normal,"Happy, Relaxing, Social","Earthy, Sweet",,,,,,,,,,,Medium (56 to 90 days),Middle of October,,,,In Stock,Cannabis Seeds Currently on Sale,
Pancakes N Ice-Cream,Holy Smoke Seeds,"High-yielding strain with buttery, biscuity base and potent stone. Must-try from Holy Smoke Seeds.",84.9,,,12 Regular Seeds (GBP 84.90) | 60 Regular Seeds (GBP 403.28) | 120 Regular Seeds (GBP 764.10),https://www.seed-city.com/holy-smoke-seeds/pancakes-n-ice-cream,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPancakes_N_Ice_C_6197d4f02dce4_120x140.jpg&newxsize=120&newysize=140&fileout=,"Pancakes is a blend of London Pound Cake #75 and Kush Mints #11, chosen for its London Pound Cake genetics. Highly valued, London Pound Cake was previously featured in Strawberry Dawg Pound. Its latest offspring, Pancakes, mixed with Ice Cream Cake male, delivers a mixture akin to a fresh bakery experience—both in scent and taste. Alongside its inviting aroma, Pancakes n Ice Cream packs a potent effect, producing prominently swollen, sugar-dusted looking buds. It stands out as a recent favourite from Holy Smoke Seeds.",,,"Regular , Feminized",12/12 Photoperiod,,,,"Indoor, Outdoor",Normal,,"Dairy, Sweet",,,,,,,,,,,Medium (56 to 90 days),,9-10 Weeks,,,In Stock,,Most Popular Cannabis Seeds
Jack Herer Auto,Seed Stockers,"Popular strain with balanced effects, high THC, earthy/fruity/spicy flavor, and good yields.",6.69,,,1 Single Feminised Seed (GBP 6.69) | 3 Feminised Seeds (GBP 23.20) | 5 Feminised Seeds (GBP 34.80) | 25 Feminised Seeds (GBP 139.20) | 125 Feminised Seeds (GBP 661.20) | 250 Feminised Seeds (GBP 252.80),https://www.seed-city.com/seed-stockers/jack-herer-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FJack_Herer_Auto_619e88816fabf_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Normal,"Body Stone, Cerebral, Relaxing",,Active,,Earthy Fruity Spicy,High (23 - 26%),,,,,,,Medium (56 to 90 days),,,,,In Stock,,
SALE - Lemonade Haze - Moxie Female Seeds,Moxie Female Seeds,"Indica growth, sativa flavor. Easy to grow, rewarding all experience levels with large, frosty buds.",10.78,17.96,40.0,2 X 1 Single Feminised Seed (GBP 10.78),https://www.seed-city.com/moxie-female-seeds/sale-lemonade-haze-moxie-female-seeds,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FLemonade_Haze_56af87b7c6888_120x140.jpg&newxsize=120&newysize=140&fileout=,"Super Lemon Haze, a globally recognized cannabis strain, has been honored with countless awards and has led to numerous hybrid offsprings, maintaining its high ranking among the world's best strains. Moxie has ingeniously combined Super Lemon Haze's aromatic profile with the potent genetic framework of the award-winning Lemon O.G. The resulting Lemonade Haze cultivar exhibits indica-like growth patterns while offering a purely sativa taste. This distinct and straightforward-to-cultivate strain promises substantial yields of frosty, tasty buds to cultivators of all skill levels.",,,Feminized,12/12 Photoperiod,Sativa Dominant,Sativa Dom Hybrid,,"Indoor, Outdoor",Normal,,"Citrus, Lemon",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
SALE - Smurfberry Automatic - Sagarmatha Seeds,Sagarmatha Seeds,"Preserved Blueberry traits, high density growing needed. 8 week life cycle, .5-.7m height, 300g/m2 yield.",16.42,27.36,40.0,3 X 1 Single Feminised Seed (GBP 16.42),https://www.seed-city.com/sagarmatha-seeds/sale-smurfberry-automatic-sagarmatha-seeds,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSmurfberry_Autom_51ae83daf15b3_120x140.gif&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,,,,"Indoor, Outdoor",Normal,,"Berry, Sweet",,,,,,,,,,Short (up to 80cm),Short (up to 55 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
SALE - Auto Afghan Mass XXL - OO Seeds,Cannabis Seed Sale Items,High-yielding strain with Afghan genetics and Critical Mass production. Indoor yield of 500-550 gr/m2 in 75-80 days. Outdoor harvest from April to November.,6.24,10.4,40.0,2 X 1 Single Feminised Seed (GBP 6.24),https://www.seed-city.com/cannabis-seed-sale-items/sale-auto-afghan-mass-xxl-oo-seeds,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAuto_Afghan_Mass_5a78f28990f83_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
SALE - Gelato 41 - Flavour Chasers,Cannabis Seed Sale Items,Top-rated UK online cannabis seed bank with wide strain variety. Customers love quality products and helpful info.,15.61,26.02,40.0,1 X 1 Single Feminised Seed (GBP 15.61),https://www.seed-city.com/cannabis-seed-sale-items/sale-gelato-41-flavour-chasers,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGelato_41_5c1d34c13e1bd_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor, Greenhouse",Super Strength,"General Pain, Headaches, Inflammation, Migraine Relief, Relaxing, Spasm Relief","Berry, Fruity, Sweet, Woodsy",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Terpatron 3000,Ultra Genetics,"Easy to grow, high yielding plants with fruity flavor and heavy high. Dominant purple hues for beautiful progeny.",11.0,,,1 Single Feminised Seed (GBP 11.00) | 6 Feminised Seeds (GBP 55.00) | 30 Feminised Seeds (GBP 261.25) | 60 Feminised Seeds (GBP 495.00),https://www.seed-city.com/ultra-genetics/terpatron-3000,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTerpatron_3000_620d0ec1013c7_120x140.jpg&newxsize=120&newysize=140&fileout=,"Terpatron 3000 by Ultra Genetics is an indica-dominant hybrid, bred from Mandarin Biker and Mendo Grape Kush. It features a tropical passion fruit and sweet Mandarin orange flavor profile, with plants often displaying deep purple hues. This easy-to-grow strain offers hefty yields without much stretch, making it manageable for growers. Phenotypes are consistent, all offering a potent, flavorful terpene profile and a heavy high attributed to its Kush heritage. Ideal for connoisseurs looking for impressive characteristics.",,,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,"Fruity, Orange, Sweet",,,,,,,,,,,Medium (56 to 90 days),,10 Weeks,,,In Stock,,
Glow Starz,Paradise Seeds,"High-yielding kushy cultivar with cookie terps, resin production. Adaptable, finishes in 8-9 weeks indoors, 500g/m� yield.",40.0,,,5 Feminised Seeds (GBP 40.00) | 25 Feminised Seeds (GBP 190.00) | 50 Feminised Seeds (GBP 360.00),https://www.seed-city.com/paradise-seeds/glow-starz,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGlow_Starz_623896776f4f9_120x140.jpg&newxsize=120&newysize=140&fileout=,"Glowstarz is a standout strain by Paradise Seeds, blending SFV OG Kush with Gelato 33 for a heavy yielding, resin-rich cultivar that's part of their California Collection.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,Euphoric,"Earthy, Fuel, Gassy, Metallic",,,,,,,,,,,Medium (56 to 90 days),Beginning of October,8-9 Weeks,,,In Stock,,
Cherry Cola Auto,FastBuds,"Delicious cherry cola terps, up to 25% THC, balanced high. Tall plant with huge yields, suitable for day and night use.",32.2,,,3 Feminised Seeds (GBP 32.20) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 88.40) | 50 Feminised Seeds (GBP 419.90) | 100 Feminised Seeds (GBP 795.60),https://www.seed-city.com/fastbuds/cherry-cola-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCherry_Cola_Auto_624c6ab15a24f_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,"Indica Dominant , 50% Indica/50% Sativa",,,"Indoor, Outdoor",Super Strength,"Anxiety, Appetite Stimulant, Body Stone, Cerebral, Happy, Stress Relief","Berry, Cherry, Fruity, Raspberry, Strawberry, Sweet",,,,Up to 25%,< 1%,,,,,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),,,,,In Stock,,
Red Banana Berry Double XL Auto,Growers Choice,"Visually striking strain with high THC content, versatile growing characteristics, and delightful experience for cannabis connoisseurs.",16.0,,,4 Feminised Seeds (GBP 16.00) | 7 Feminised Seeds (GBP 25.00) | 14 Feminised Seeds (GBP 40.00) | 70 Feminised Seeds (GBP 190.00) | 140 Feminised Seeds (GBP 360.00),https://www.seed-city.com/growers-choice/red-banana-berry-double-xl-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRed_Banana_Berry_656f431a8c006_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Zombie Bride,Ripper Seeds,"Captivating hybrid with unique terpene profile, earthy and cookie-like scents, flowering in about nine weeks.",18.2,,,3 Feminised Seeds (GBP 18.20) | 5 Feminised Seeds (GBP 30.20) | 25 Feminised Seeds (GBP 143.45) | 50 Feminised Seeds (GBP 271.80),https://www.seed-city.com/ripper-seeds/zombie-bride,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FZombie_Bride_62829b5b279ee_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,"Earthy, Sweet",,,,,,,,,,,Medium (56 to 90 days),Middle of October,,,,In Stock,,
Sunset Skunk,Penthouse Cannabis Co,"THC blend around 20-22%. Indoor 70 days, outdoor mid-October harvest.",21.2,,,3 Feminised Seeds (GBP 21.20) | 5 Feminised Seeds (GBP 32.00) | 10 Feminised Seeds (GBP 58.40) | 50 Feminised Seeds (GBP 277.40) | 100 Feminised Seeds (GBP 525.60),https://www.seed-city.com/penthouse-cannabis-co/sunset-skunk,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSunset_Skunk_6283ce37e2409_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,,,,"Indoor, Outdoor",Super Strength,,,,,,,,,,,,,Medium (56 to 90 days),Middle of October,,,,In Stock,,
Gorilla Gas Auto,TasteBudz Seeds,"Potent THC levels, fast flowering time, high yields indoors and outdoors, exotic lemon diesel flavor, popular among enthusiasts.",16.64,20.8,20.0,3 Feminised Seeds (GBP 16.64) | 5 Feminised Seeds (GBP 23.36) | 10 Feminised Seeds (GBP 40.00) | 50 Feminised Seeds (GBP 190.00) | 100 Feminised Seeds (GBP 360.00),https://www.seed-city.com/tastebudz-seeds/gorilla-gas-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGorilla_Gas_Auto_63bc4f2492438_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,"Citrus, Fuel, Lemon, Peppery",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
Valencia Seeds - Auto Gelato,Seed City Bulk Cannabis Seeds,Fast-growing strain with Gelato dessert flavor. Balanced high and visually appealing buds.,2.99,,,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/seed-city-bulk-cannabis-seeds/valencia-seeds-gelato,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2Fscbulksmall.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Valencia Seeds - Gorilla,Seed City Bulk Cannabis Seeds,"Highly potent strain with short flowering period. Ideal for indoor/outdoor cultivation, known for relaxing effects and therapeutic benefits.",2.99,,,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/seed-city-bulk-cannabis-seeds/valencia-seeds-gorilla-glue,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2Fscbulksmall.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Valencia Seeds - Sherbet,Seed City Bulk Cannabis Seeds,"High THC strain with citrusy fruit flavors, adaptable for indoor/outdoor cultivation. Relaxing, creative high. Popular among users, easy to grow, high yields.",2.99,,,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/seed-city-bulk-cannabis-seeds/valencia-seeds-sherbet,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2Fscbulksmall.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Valencia Seeds - Biscotti,Seed City Bulk Cannabis Seeds,"Potent, flavorful, calming strain with THC levels of 25-29%. Ideal for unwinding, socializing, and pain relief.",2.99,,,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/seed-city-bulk-cannabis-seeds/valencia-seeds-biscotti,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2Fscbulksmall.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Blue Moby,Seed Stockers,"High-quality strain with genetics from top-rated strains. Thick resin layer, potent buds with long-lasting effects. Indoor/outdoor, huge yield.",9.32,,,1 Single Feminised Seed (GBP 9.32) | 3 Feminised Seeds (GBP 25.80) | 5 Feminised Seeds (GBP 38.80) | 25 Feminised Seeds (GBP 184.30) | 50 Feminised Seeds (GBP 349.20) | 10 Regular Seeds (GBP 73.80) | 50 Regular Seeds (GBP 350.55) | 100 Regular Seeds (GBP 664.20),https://www.seed-city.com/seed-stockers/blue-moby,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlue_Moby_628d32c3a6c20_120x140.png&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,"Happy, Relaxing","Spicy, Sweet",Happy Chill,,Candy Spicy,Medium (14 -22%),,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Mack & Crack,Seed Stockers,"Highly potent seeds with 30% THC. Heavy harvests, citrus/gassy taste, powerful, long-lasting high.",52.2,,,5 Feminised Seeds (GBP 52.20) | 25 Feminised Seeds (GBP 247.95) | 50 Feminised Seeds (GBP 469.80),https://www.seed-city.com/seed-stockers/mack-crack,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FMack___Crack_628e3b28ba3cd_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,,"Citrus, Herbal",Active,,Citrus Herbal,Super High (up to 30%),,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Apollo Black Cherry Auto,Seed Stockers,"Rare seed with heavy yields, 20%+ THC, black cherry flavor. Easy to grow, XL yields, fruity taste, stress-relieving effects.",42.8,,,3 Feminised Seeds (GBP 42.80) | 5 Feminised Seeds (GBP 64.20) | 25 Feminised Seeds (GBP 304.95) | 50 Feminised Seeds (GBP 577.81),https://www.seed-city.com/seed-stockers/apollo-black-cherry-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FApollo_Black_Che_628e49d26ff5a_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,Relaxing,"Earthy, Spicy",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
